Employee_ID,Age,Gender,Education_Level,Industry,Job_Role,Years_Experience,AI_Adoption_Level,Automation_Risk,Upskilling_Required,Salary_Before_AI,Salary_After_AI,Job_Status,Work_Hours_Per_Week,Remote_Work,Job_Satisfaction,Productivity_Change_%
E0030,40,Other,PhD,Education,Teacher,15,Medium,High,No,32911,30569,Unchanged,42,Yes,9,36.43
E0031,39,Female,High School,Marketing,Content Creator,17,Medium,Low,Yes,31802,31875,Unchanged,44,Yes,5,-13.19
E0032,28,Other,Bachelor,Manufacturing,Quality Inspector,3,Low,High,Yes,46371,47736,Unchanged,50,No,8,-5.49
E0033,33,Female,PhD,Manufacturing,Quality Inspector,7,Medium,High,Yes,59855,65237,Unchanged,37,Yes,5,0.34
E0034,37,Female,PhD,Healthcare,Nurse,13,Medium,Low,No,34499,40230,Unchanged,54,No,5,26.79
E0035,29,Female,High School,IT,DevOps Engineer,4,Low,High,No,83351,86765,Unchanged,37,No,3,-19.45
E0036,50,Female,High School,Marketing,Digital Marketer,27,Low,Medium,Yes,76975,76652,Modified,37,No,7,9.14
E0037,57,Other,PhD,Finance,Auditor,35,Low,Low,Yes,68467,67480,Unchanged,54,No,9,-0.48
E0038,24,Male,Bachelor,Finance,Accountant,2,Medium,Low,No,100271,107339,Unchanged,53,Yes,8,-14.38
E0039,43,Male,High School,Education,Teacher,17,High,High,No,104290,139250,Modified,36,Yes,7,17.87
E0040,51,Male,Bachelor,Retail,Cashier,29,Medium,High,No,69790,73122,Unchanged,50,No,5,-8.29
E0041,25,Female,Master,Retail,Sales Associate,1,High,Medium,Yes,103744,144902,Modified,48,Yes,7,8.2
E0042,27,Male,Master,Retail,Cashier,3,Medium,Medium,No,62635,56661,Modified,51,No,8,35.7
E0043,52,Male,High School,Education,Professor,28,High,Low,No,96235,126241,Unchanged,35,No,5,-2.33
E0044,39,Female,Master,IT,Data Analyst,17,High,Low,Yes,62745,85439,Unchanged,42,No,8,21.76
E0045,45,Other,PhD,IT,DevOps Engineer,22,Medium,Medium,Yes,102991,113428,Modified,44,No,4,1.52
E0046,47,Male,Bachelor,Manufacturing,Quality Inspector,25,High,Medium,No,57751,70352,Modified,50,No,9,22.15
E0047,50,Other,Bachelor,Manufacturing,Supervisor,27,High,Medium,No,49190,51741,Modified,47,Yes,6,-4.63
E0048,28,Female,Master,Manufacturing,Machine Operator,6,Low,Medium,Yes,100316,98223,Modified,48,No,8,-15.74
E0049,33,Female,PhD,Retail,Store Manager,9,Low,High,Yes,85766,81832,Unchanged,53,No,3,14.73
E0050,43,Other,Bachelor,Healthcare,Nurse,20,High,Low,Yes,86661,82341,Unchanged,49,No,8,-17.67
E0051,58,Male,Bachelor,Healthcare,Technician,36,Low,Low,Yes,110135,117348,Unchanged,39,No,9,-7.05
E0052,25,Male,PhD,Education,Professor,0,Low,High,No,88335,90958,Unchanged,42,No,6,12.44
E0053,37,Female,Bachelor,Healthcare,Technician,11,Low,Medium,Yes,47019,49707,Modified,53,Yes,6,-17.54
E0054,47,Male,PhD,Healthcare,Technician,21,High,High,Yes,62217,85709,Modified,43,Yes,6,30.16
E0055,22,Other,Bachelor,Marketing,Digital Marketer,0,Medium,Low,No,46896,48429,Unchanged,50,Yes,3,-5.61
E0056,22,Female,Master,Manufacturing,Quality Inspector,0,Medium,Medium,Yes,83222,91305,Modified,37,Yes,6,6.14
E0057,47,Male,PhD,Marketing,Content Creator,23,Medium,Low,No,43284,40515,Unchanged,39,Yes,9,0.51
E0058,51,Male,Bachelor,Retail,Store Manager,26,High,Low,No,59124,64120,Unchanged,50,No,7,-14.13
E0059,57,Other,PhD,Education,Teacher,35,High,Medium,No,86573,91794,Modified,44,No,8,3.91
E0060,26,Female,High School,Education,Administrator,1,Low,Medium,No,98385,97315,Modified,53,No,4,-19.08
E0061,53,Male,High School,Marketing,SEO Specialist,31,Low,High,No,71975,75487,Unchanged,50,No,9,-10.22
E0062,23,Male,Bachelor,Marketing,Content Creator,1,Medium,High,No,79115,85106,Unchanged,46,No,4,36.41
E0063,56,Male,High School,Marketing,SEO Specialist,31,Low,Medium,No,34000,36437,Modified,46,No,5,29.24
E0064,22,Male,Master,Education,Administrator,0,Low,High,Yes,99449,97559,Unchanged,46,No,9,-3.56
E0065,23,Male,Bachelor,Finance,Accountant,0,High,Low,No,57350,48329,Unchanged,44,Yes,4,-0.86
E0066,55,Female,Master,Finance,Auditor,31,Medium,Medium,No,50358,47107,Modified,47,Yes,5,21.8
E0067,50,Male,High School,Marketing,SEO Specialist,25,Low,High,No,63496,67973,Unchanged,44,No,7,-3.08
E0068,30,Other,High School,Manufacturing,Machine Operator,6,Medium,High,Yes,113042,115730,Unchanged,41,No,9,2.32
E0069,53,Other,High School,Education,Professor,27,Medium,Medium,Yes,74811,76957,Modified,37,Yes,3,25.05
E0070,51,Male,Master,Retail,Cashier,29,Medium,Medium,Yes,44397,46571,Modified,47,Yes,5,3.38
E0071,40,Female,PhD,IT,Data Analyst,18,High,Low,No,109459,88278,Unchanged,46,Yes,3,34.32
E0072,28,Male,Bachelor,Finance,Investment Analyst,3,Medium,Low,No,112637,124242,Unchanged,49,Yes,7,8.95
E0073,26,Female,High School,IT,Software Engineer,2,Low,Low,No,119112,123049,Unchanged,50,Yes,3,-7.24
E0074,35,Other,Master,Education,Teacher,12,Low,Low,No,39348,41730,Unchanged,45,No,4,12.75
E0075,33,Other,PhD,Retail,Cashier,11,Medium,Medium,No,53625,61727,Modified,40,Yes,9,32.01
E0076,34,Other,High School,IT,Software Engineer,11,Low,Low,Yes,92856,99660,Unchanged,39,No,7,22.37
E0077,58,Male,Bachelor,Manufacturing,Machine Operator,34,High,High,Yes,58295,59726,Replaced,54,No,3,2.24
E0078,28,Female,PhD,Manufacturing,Machine Operator,6,Medium,High,Yes,31324,35271,Unchanged,53,Yes,7,2.58
E0079,48,Female,High School,Marketing,SEO Specialist,25,Low,Medium,Yes,85129,85089,Modified,47,Yes,7,6.07
E0080,49,Male,PhD,Education,Professor,26,High,Low,No,60355,52586,Unchanged,43,No,9,-12.95
E0081,22,Male,Bachelor,Marketing,SEO Specialist,0,Medium,High,Yes,110219,131012,Unchanged,51,Yes,3,2.49
E0082,54,Other,PhD,Marketing,Content Creator,28,High,Low,Yes,97641,78824,Unchanged,49,No,7,38.19
E0083,37,Male,High School,Manufacturing,Machine Operator,11,Low,High,Yes,91642,99694,Unchanged,53,No,6,-4.82
E0084,39,Other,Bachelor,IT,Software Engineer,17,Low,High,No,82528,87014,Unchanged,37,Yes,9,7.27
E0085,32,Male,High School,Healthcare,Nurse,7,Medium,High,No,40975,37588,Unchanged,42,No,4,3.67
E0086,49,Female,Bachelor,Marketing,Digital Marketer,24,Low,High,No,91529,92283,Unchanged,39,Yes,3,-6.24
E0087,57,Male,PhD,Retail,Store Manager,33,High,Low,Yes,77605,63588,Unchanged,54,Yes,7,-3.21
E0088,49,Male,High School,Retail,Sales Associate,23,Medium,Low,No,57532,67501,Unchanged,52,No,5,29.35
E0089,26,Female,Bachelor,Healthcare,Nurse,4,Low,Medium,Yes,95545,104135,Modified,47,Yes,7,31.96
E0090,54,Male,Master,IT,Data Analyst,32,Medium,Low,No,38415,45928,Unchanged,51,No,7,2.6
E0091,54,Other,Bachelor,Marketing,Content Creator,31,Medium,High,Yes,105880,108468,Unchanged,50,No,9,-3.6
E0092,27,Other,PhD,IT,Software Engineer,2,High,Low,No,48384,54219,Unchanged,37,No,7,24.99
E0093,44,Other,High School,Education,Teacher,18,High,High,Yes,99172,135554,Modified,51,Yes,7,30.98
E0094,35,Female,PhD,Retail,Sales Associate,13,Medium,High,No,68765,67075,Unchanged,38,Yes,8,-3.52
E0095,22,Other,Bachelor,Education,Administrator,0,Low,Medium,Yes,75543,78770,Modified,42,No,9,1.49
E0096,47,Female,PhD,Marketing,Digital Marketer,24,Low,Medium,Yes,88017,89903,Modified,52,No,6,29.88
E0097,22,Male,PhD,Finance,Accountant,0,Medium,Medium,No,54285,61751,Modified,49,Yes,9,15.4
E0098,36,Male,High School,Healthcare,Doctor,10,High,Low,No,69764,82573,Unchanged,41,No,8,28.3
E0099,55,Female,Master,Retail,Store Manager,32,Low,Low,No,85393,89278,Unchanged,53,Yes,9,13.29
E0100,55,Male,High School,Education,Teacher,30,High,Low,Yes,83413,89297,Unchanged,44,No,5,34.63
E0101,38,Female,Master,Retail,Store Manager,12,High,Medium,No,69811,75089,Modified,51,No,6,30.53
E0102,41,Other,Master,Healthcare,Nurse,15,High,High,No,103477,113366,Modified,45,Yes,5,-0.27
E0103,32,Other,Bachelor,Manufacturing,Supervisor,8,Medium,High,Yes,36254,34030,Unchanged,45,Yes,8,-12.32
E0104,37,Male,High School,Manufacturing,Machine Operator,12,Low,Medium,No,71240,77261,Modified,52,Yes,7,8.44
E0105,40,Male,Master,Retail,Cashier,14,Low,Medium,No,117044,117250,Modified,40,No,3,0.86
E0106,26,Other,Master,Finance,Accountant,4,High,High,Yes,46907,43332,Replaced,48,No,4,1.86
E0107,48,Male,PhD,Retail,Cashier,26,Low,Low,No,53321,57048,Unchanged,49,Yes,8,17.67
E0108,38,Female,PhD,Retail,Cashier,15,Medium,Low,No,94291,107667,Unchanged,54,No,9,24.9
E0109,43,Female,High School,Marketing,Digital Marketer,20,Medium,High,Yes,58699,59325,Unchanged,47,No,4,7.75
E0110,35,Male,Bachelor,Manufacturing,Machine Operator,11,Medium,Medium,No,35126,38854,Modified,45,Yes,9,30.67
E0111,39,Male,Bachelor,Marketing,Digital Marketer,16,High,Medium,No,118869,133082,Modified,39,No,6,-5.45
E0112,31,Male,PhD,Manufacturing,Supervisor,9,Low,Low,No,80448,78977,Unchanged,46,No,3,-0.35
E0113,38,Other,Bachelor,IT,Software Engineer,12,Low,Medium,No,36168,38043,Modified,47,No,4,27.35
E0114,57,Other,High School,Education,Professor,34,Low,Medium,No,42910,45562,Modified,53,No,4,5.9
E0115,58,Male,Master,IT,Software Engineer,33,Low,Medium,Yes,84553,88030,Modified,47,Yes,8,-5.34
E0116,58,Other,Master,IT,Software Engineer,36,Medium,Medium,Yes,88656,79990,Modified,40,Yes,9,-6.48
E0117,25,Male,High School,Education,Administrator,1,Medium,High,No,106125,101032,Unchanged,37,No,5,33.81
E0118,52,Other,Master,IT,Software Engineer,26,High,High,No,106323,148677,Replaced,54,No,6,33.8
E0119,32,Male,High School,Marketing,Content Creator,7,High,Medium,Yes,117886,152101,Modified,40,Yes,5,-4.53
E0120,23,Male,PhD,Finance,Investment Analyst,0,High,Medium,Yes,109239,118630,Modified,39,No,8,30.31
E0121,47,Other,Master,Finance,Accountant,22,Low,Medium,Yes,88067,90369,Modified,49,Yes,3,-5.46
E0122,47,Female,Master,Healthcare,Nurse,21,High,Low,Yes,31917,28489,Unchanged,45,No,5,8.87
E0123,54,Other,PhD,Manufacturing,Quality Inspector,31,High,Low,No,89383,78715,Unchanged,46,No,4,-16.2
E0124,34,Female,High School,Marketing,Digital Marketer,11,Low,Medium,Yes,64387,63626,Modified,51,Yes,3,20.89
E0125,32,Other,High School,Finance,Investment Analyst,8,Low,Medium,Yes,72078,78523,Modified,46,No,4,29.84
E0126,35,Male,PhD,Finance,Auditor,9,Low,Medium,Yes,38567,42371,Modified,37,Yes,5,-7.7
E0127,22,Male,Bachelor,Manufacturing,Supervisor,0,Low,Medium,Yes,35951,38367,Modified,39,No,8,29.68
E0128,51,Female,High School,Finance,Investment Analyst,27,Low,Low,Yes,116740,114167,Unchanged,48,No,4,-5.86
E0129,25,Male,PhD,IT,Data Analyst,3,High,Medium,No,44060,50800,Modified,42,No,9,20.98
E0130,35,Female,High School,Finance,Accountant,11,High,Low,No,103340,101358,Unchanged,49,No,3,24.86
E0131,46,Female,PhD,Finance,Investment Analyst,24,Low,Medium,Yes,64016,64574,Modified,42,Yes,5,11.91
E0132,27,Male,Bachelor,Retail,Cashier,3,Low,High,Yes,113122,113148,Unchanged,49,No,9,-11.64
E0133,50,Male,Bachelor,Finance,Investment Analyst,28,Medium,Medium,Yes,89379,100322,Modified,40,No,3,14.39
E0134,54,Female,Master,Manufacturing,Quality Inspector,28,Low,Low,Yes,94484,100794,Unchanged,38,Yes,8,-11.41
E0135,23,Male,Bachelor,Education,Teacher,0,Low,Low,Yes,73872,71318,Unchanged,49,No,6,12.19
E0136,45,Male,PhD,Finance,Accountant,20,Medium,Medium,Yes,70631,74211,Modified,49,No,6,12.39
E0137,33,Other,High School,Retail,Cashier,7,Medium,High,Yes,50609,45733,Unchanged,38,Yes,6,15.91
E0138,47,Male,Bachelor,Manufacturing,Machine Operator,23,High,Medium,No,101315,92091,Modified,40,Yes,8,34.51
E0139,29,Other,Master,Manufacturing,Machine Operator,6,High,High,Yes,106077,124000,Replaced,42,Yes,8,34.71
E0140,39,Other,Bachelor,IT,DevOps Engineer,17,Medium,High,Yes,45328,41041,Unchanged,46,Yes,6,32.33
E0141,57,Male,PhD,IT,Software Engineer,32,High,Medium,No,94644,128100,Modified,44,No,3,22.43
E0142,49,Male,High School,Healthcare,Doctor,26,High,Low,Yes,85176,89816,Unchanged,42,No,3,24.19
E0143,43,Male,PhD,Manufacturing,Machine Operator,19,High,Low,Yes,43718,38195,Unchanged,48,Yes,6,-5.85
E0144,44,Male,Bachelor,Finance,Investment Analyst,22,High,High,Yes,83173,92430,Replaced,49,Yes,3,15.48
E0145,30,Female,Bachelor,Manufacturing,Quality Inspector,7,High,Low,Yes,69224,55571,Unchanged,54,Yes,3,0.01
E0146,47,Female,Bachelor,IT,Data Analyst,23,High,Low,Yes,103509,104317,Unchanged,36,No,5,0.82
E0147,38,Other,High School,Education,Administrator,14,Medium,Low,No,71914,74483,Unchanged,41,No,6,-11.55
E0148,27,Female,High School,Marketing,Content Creator,1,Medium,Medium,Yes,117895,117121,Modified,45,No,8,26.83
E0149,47,Male,PhD,Marketing,SEO Specialist,22,Medium,Medium,Yes,46241,50821,Modified,54,Yes,3,-9.32
E0150,41,Male,High School,Healthcare,Doctor,16,Low,Low,Yes,51566,56698,Unchanged,35,Yes,7,10.13
E0151,51,Other,Bachelor,Manufacturing,Machine Operator,27,Low,High,No,54442,58251,Unchanged,51,Yes,7,0.96
E0152,50,Male,Bachelor,Retail,Cashier,26,Low,Medium,No,48449,48163,Modified,52,No,4,22.84
E0153,49,Female,Master,Retail,Sales Associate,27,Medium,High,Yes,56737,59522,Unchanged,38,Yes,3,25.92
E0154,29,Other,Bachelor,IT,Data Analyst,3,High,Low,Yes,42342,57909,Unchanged,44,No,5,2.4
E0155,55,Male,Bachelor,Marketing,SEO Specialist,30,High,Medium,No,111974,100070,Modified,42,Yes,3,22.96
E0156,24,Female,High School,Retail,Sales Associate,0,High,Low,No,93230,75686,Unchanged,49,Yes,7,-13.75
E0157,24,Other,High School,Marketing,Content Creator,0,Low,Medium,Yes,54160,55974,Modified,37,Yes,8,23.25
E0158,53,Male,High School,IT,DevOps Engineer,29,Medium,High,No,42175,42982,Unchanged,48,No,9,20.09
E0159,39,Male,Bachelor,Healthcare,Technician,16,High,Medium,No,46032,42567,Modified,53,Yes,6,-18.41
E0160,50,Male,Master,Healthcare,Nurse,25,High,Low,No,38705,52111,Unchanged,45,Yes,4,17.49
E0161,23,Other,Master,Finance,Accountant,0,High,Medium,Yes,106918,102730,Modified,40,Yes,8,17.45
E0162,30,Other,High School,IT,DevOps Engineer,7,Medium,Medium,Yes,92516,91437,Modified,46,Yes,3,36.91
E0163,31,Female,High School,IT,DevOps Engineer,7,High,Low,Yes,116143,105604,Unchanged,51,No,8,9.09
E0164,30,Male,High School,Education,Administrator,7,High,Low,Yes,90774,84493,Unchanged,48,Yes,6,18.7
E0165,47,Female,Master,Finance,Auditor,24,Low,Medium,No,106908,112647,Modified,40,Yes,4,20.99
E0166,42,Other,PhD,IT,Data Analyst,19,High,Medium,Yes,68243,74989,Modified,39,No,3,-15.97
E0167,59,Other,High School,Retail,Sales Associate,36,High,Medium,Yes,108411,100155,Modified,40,Yes,5,-19.34
E0168,55,Female,Bachelor,IT,Software Engineer,30,Medium,Medium,Yes,76828,84473,Modified,47,No,3,-9.48
E0169,47,Other,Bachelor,Manufacturing,Quality Inspector,21,Medium,High,Yes,119563,135258,Unchanged,36,Yes,6,5.32
E0170,22,Male,PhD,Education,Teacher,0,Low,Medium,Yes,51172,53243,Modified,45,Yes,5,-5.28
E0171,57,Other,PhD,Retail,Cashier,35,High,High,No,54762,53572,Modified,36,No,9,13.98
E0172,45,Other,PhD,Healthcare,Nurse,19,Low,Low,Yes,119399,117278,Unchanged,54,No,5,-18.13
E0173,56,Other,PhD,Education,Professor,31,Medium,High,Yes,45850,52907,Unchanged,45,Yes,4,37.31
E0174,30,Male,PhD,Education,Professor,7,Low,High,No,31524,31576,Unchanged,35,Yes,3,1.09
E0175,46,Male,Master,IT,Data Analyst,22,Low,Low,No,75186,72303,Unchanged,53,No,8,-19.86
E0176,59,Male,Master,Retail,Cashier,36,High,Low,No,53051,53930,Unchanged,51,No,7,-14.51
E0177,38,Other,High School,Finance,Accountant,15,Low,Medium,Yes,66408,67530,Modified,50,No,5,-8.89
E0178,29,Female,High School,Retail,Cashier,3,Low,Medium,Yes,41344,43362,Modified,40,No,3,21.54
E0179,39,Male,PhD,Manufacturing,Supervisor,17,Medium,Medium,No,107454,119053,Modified,49,No,4,-16.9
E0180,37,Male,PhD,Manufacturing,Machine Operator,15,High,Low,Yes,42182,47812,Unchanged,41,No,8,8.39
E0181,36,Female,High School,IT,Data Analyst,10,Low,Low,No,54070,53778,Unchanged,52,No,5,35.46
E0182,44,Female,High School,Finance,Auditor,18,Low,High,Yes,36737,39005,Unchanged,37,No,4,-16.71
E0183,38,Other,Master,Retail,Cashier,14,High,Low,No,65435,57081,Unchanged,39,No,5,-15.38
E0184,47,Other,PhD,Marketing,SEO Specialist,22,Low,Low,Yes,70998,70805,Unchanged,47,Yes,4,12.37
E0185,54,Other,High School,Marketing,SEO Specialist,28,Low,High,Yes,109273,118178,Unchanged,37,No,4,5.05
E0186,55,Other,High School,Finance,Investment Analyst,31,Medium,High,Yes,59430,56793,Unchanged,37,No,5,3.04
E0187,50,Other,PhD,Education,Teacher,28,Low,High,No,91916,87838,Unchanged,50,Yes,6,8.79
E0188,31,Male,Master,Healthcare,Nurse,9,Medium,Medium,No,54574,56015,Modified,51,No,5,24.25
E0189,35,Male,Master,IT,DevOps Engineer,12,Medium,Medium,No,85619,95436,Modified,50,Yes,3,15.35
E0190,36,Female,High School,Finance,Investment Analyst,14,Low,High,Yes,34494,34757,Unchanged,46,No,5,20.78
E0191,58,Male,PhD,Manufacturing,Supervisor,32,Low,Low,No,75028,72282,Unchanged,48,No,5,5.05
E0192,34,Female,PhD,Retail,Store Manager,11,Medium,High,No,78280,87908,Unchanged,42,Yes,6,-16.1
E0193,50,Other,Master,Finance,Accountant,24,Low,High,No,94754,97303,Unchanged,36,Yes,3,-6.16
E0194,47,Other,High School,Retail,Store Manager,25,High,High,Yes,57376,78855,Replaced,39,Yes,7,29.57
E0195,44,Other,Bachelor,Marketing,Digital Marketer,22,Medium,High,No,76600,90259,Unchanged,44,No,5,39.69
E0196,39,Male,High School,IT,Data Analyst,17,Low,Medium,Yes,54578,58528,Modified,49,No,3,-6.53
E0197,30,Other,PhD,Retail,Sales Associate,5,High,Medium,Yes,64701,85151,Modified,37,No,5,7.45
E0198,49,Other,Master,Retail,Store Manager,23,Medium,Medium,No,95160,86910,Modified,44,Yes,3,31.13
E0199,36,Female,PhD,Marketing,Content Creator,14,Medium,High,Yes,94772,106198,Unchanged,49,Yes,8,-3.12
E0200,29,Other,Master,Retail,Store Manager,5,Medium,Medium,Yes,33972,31071,Modified,39,No,6,11.96
E0201,34,Male,High School,Education,Administrator,9,High,High,No,115956,161745,Modified,47,Yes,8,-16.31
E0202,50,Male,Bachelor,Healthcare,Doctor,26,High,Low,No,49129,56144,Unchanged,42,No,5,19.73
E0203,34,Female,Master,Marketing,SEO Specialist,8,Low,Medium,No,116231,124322,Modified,35,Yes,5,19.51
E0204,34,Male,PhD,IT,Software Engineer,10,High,High,Yes,81756,99618,Modified,40,Yes,6,20.81
E0205,28,Other,Bachelor,Finance,Investment Analyst,2,High,Low,No,78874,108592,Unchanged,44,Yes,4,7.93
E0206,53,Male,PhD,Healthcare,Technician,29,Medium,Medium,No,107236,120431,Modified,38,Yes,4,-10.35
E0207,35,Male,Master,Retail,Store Manager,9,High,Medium,No,63062,57757,Modified,51,Yes,3,-14.95
E0208,38,Other,PhD,Healthcare,Nurse,15,Low,High,No,42987,40896,Unchanged,50,Yes,8,29.12
E0209,40,Male,Bachelor,Education,Administrator,17,High,High,Yes,117272,161576,Replaced,49,Yes,8,0.51
E0210,58,Male,Master,Education,Professor,32,High,Medium,Yes,112197,152850,Modified,52,No,6,21.27
E0211,48,Female,PhD,Healthcare,Doctor,26,High,Medium,Yes,110395,92777,Modified,35,No,8,14.93
E0212,47,Male,Master,Marketing,Content Creator,23,Medium,Medium,No,97889,117177,Modified,46,Yes,6,20.56
E0213,56,Other,PhD,Healthcare,Technician,31,Medium,Low,Yes,57083,51795,Unchanged,40,No,9,-18.67
E0214,36,Other,High School,IT,Data Analyst,12,High,High,No,57082,69067,Modified,48,No,4,6.75
E0215,50,Female,Master,Finance,Auditor,25,Low,Medium,No,44288,42752,Modified,49,No,9,31.25
E0216,50,Other,Master,Education,Teacher,24,Low,High,No,47482,46680,Unchanged,48,Yes,6,-15.06
E0217,43,Other,High School,IT,DevOps Engineer,19,High,High,Yes,52042,68738,Replaced,49,Yes,7,37.79
E0218,41,Female,High School,Healthcare,Nurse,17,High,Low,No,93416,99523,Unchanged,40,No,9,-1.28
E0219,55,Other,Master,Healthcare,Technician,29,High,High,Yes,78290,64094,Modified,46,Yes,4,19.1
E0220,36,Female,Bachelor,Finance,Accountant,11,High,High,No,48639,54764,Replaced,51,No,7,-10.45
E0221,29,Female,Bachelor,Finance,Auditor,5,High,Low,Yes,115553,145205,Unchanged,46,No,7,17.57
E0222,45,Male,Bachelor,Retail,Sales Associate,20,Low,Medium,Yes,83625,87178,Modified,48,Yes,9,27.79
E0223,38,Other,High School,Finance,Investment Analyst,13,High,Medium,No,81027,85741,Modified,36,Yes,5,-7.97
E0224,34,Male,PhD,Finance,Auditor,12,Low,Medium,No,56589,57091,Modified,40,Yes,5,8.8
E0225,46,Male,High School,Healthcare,Doctor,24,Low,Medium,No,81195,86633,Modified,53,Yes,3,-17.62
E0226,38,Female,High School,Finance,Investment Analyst,13,Medium,Low,Yes,82269,77558,Unchanged,54,No,3,9.93
E0227,31,Male,High School,Finance,Auditor,8,Low,Medium,Yes,93483,89824,Modified,43,Yes,7,12.05
E0228,51,Male,High School,Manufacturing,Supervisor,29,High,High,Yes,118652,100515,Replaced,36,Yes,8,3.82
E0229,47,Female,Master,Finance,Investment Analyst,24,High,Medium,No,111905,144677,Modified,46,Yes,3,-17.53
E0230,32,Male,High School,Healthcare,Doctor,6,High,Medium,Yes,79786,65340,Modified,41,No,9,36.17
E0231,53,Female,Bachelor,Retail,Cashier,31,Medium,Low,Yes,94881,112012,Unchanged,54,Yes,8,36.84
E0232,28,Male,Master,Finance,Auditor,4,Medium,Low,No,76163,81182,Unchanged,37,No,9,15.85
E0233,35,Other,Bachelor,Manufacturing,Supervisor,11,High,High,Yes,45313,37891,Modified,47,No,3,-5.17
E0234,40,Male,High School,IT,DevOps Engineer,15,Low,Low,Yes,100316,98040,Unchanged,53,No,6,27.38
E0235,39,Male,PhD,Marketing,SEO Specialist,16,Low,Low,No,46082,45357,Unchanged,43,Yes,5,39.78
E0236,24,Female,High School,Retail,Store Manager,0,High,High,No,109561,114157,Modified,49,No,3,-6.77
E0237,28,Female,Master,Education,Professor,3,Medium,Low,No,102541,121842,Unchanged,54,Yes,7,4.95
E0238,25,Other,Master,Healthcare,Nurse,0,Medium,Low,Yes,55963,63255,Unchanged,52,No,3,10.29
E0239,53,Female,Bachelor,Education,Teacher,31,Medium,High,No,102099,92789,Unchanged,38,Yes,4,3.73
E0240,36,Other,PhD,Education,Teacher,13,High,High,Yes,106707,112365,Modified,53,Yes,4,-3.39
E0241,33,Female,Bachelor,IT,DevOps Engineer,9,Low,Low,Yes,78364,79921,Unchanged,35,Yes,5,30.16
